node_id,out_degree,in_degree,total_out,total_in,mean_amount,std_amount,account_age_days,n_counterparties,device,label,ring_type
0,4,2,11854.09,2415.1,2378.1983333333333,1976.8187873316112,1167,6,62,0,none
1,2,6,3049.4700000000003,8090.5199999999995,1392.49875,902.1289758598476,675,8,458,0,none
2,5,4,3864.09,5182.4400000000005,1005.1700000000001,615.2063046924449,1292,9,303,0,none
3,5,5,15175.619999999999,7131.879999999999,2230.75,2331.163120208451,1055,10,60,0,none
4,5,2,7994.07,2340.96,1476.432857142857,1526.1256315699225,168,7,141,0,none
5,4,2,13166.31,2657.79,2637.35,1727.943931864303,1464,6,368,0,none
6,2,3,1184.49,2667.05,770.308,460.8824881637401,1148,5,515,0,none
7,1,3,2488.53,6940.34,2357.2174999999997,1122.0263150518128,1185,4,502,0,none
8,2,2,2414.59,1610.05,1006.1600000000001,750.2629074864357,218,4,359,0,none
9,1,3,690.54,2360.0,762.635,197.76734645790242,692,4,587,0,none
10,4,2,5055.39,8767.17,2303.76,2620.7771941480773,575,6,350,0,none
11,3,5,5707.39,8773.47,1810.1075,2212.764972561196,1392,8,127,0,none
12,5,7,6465.92,14331.000000000002,1733.0766666666666,969.2177390498426,976,12,547,0,none
13,4,6,2920.32,12873.949999999999,1579.427,2335.612557994369,1239,10,281,0,none
14,4,3,8095.94,7161.8,2179.6771428571424,1968.522076248461,681,7,381,0,none
15,1,2,351.31,2045.35,798.8866666666667,376.5201974514633,364,3,315,0,none
16,1,3,682.31,2219.0,725.3275,219.167263337274,845,4,64,0,none
17,1,1,3563.33,1416.38,2489.855,1073.475,123,2,621,0,none
18,3,4,3932.4900000000002,14845.09,2682.5114285714285,3352.7681603817146,1246,7,600,0,none
19,5,4,5555.669999999999,6316.19,1319.0955555555558,1244.3910934456712,958,9,193,0,none
20,3,2,1471.49,4950.45,1284.3880000000001,1000.0344625941647,1144,5,115,0,none
21,1,3,3782.58,4042.6000000000004,1956.295,1246.1610234937539,551,4,490,0,none
22,1,2,2800.01,4516.89,2438.9666666666667,1680.1368397511226,1456,3,47,0,none
23,1,2,352.92,1602.25,651.7233333333334,313.8614121267893,1342,3,311,0,none
24,2,1,8608.16,1950.64,3519.6,3377.5083967129767,1174,3,474,0,none
25,2,0,4288.81,0.0,1429.6033333333335,1298.25514370464,316,2,531,0,none
26,4,3,11616.449999999999,4878.2,2356.378571428571,1725.1065783260099,716,7,254,0,none
27,2,2,2011.8,18020.8,5008.15,4982.16891363089,94,4,348,0,none
28,4,2,6240.780000000001,2895.2799999999997,1522.676666666667,564.380412980071,256,6,382,0,none
29,5,3,37257.17,2848.46,5013.20375,7079.589647509482,1034,8,520,0,none
30,2,2,3507.65,1703.28,1302.7324999999998,810.8222091918487,1124,4,645,0,none
31,4,2,18261.920000000002,2225.0499999999997,3414.4950000000003,5581.073966495307,1452,6,256,0,none
32,1,5,1041.52,5507.99,1091.585,601.2132271706936,508,6,287,0,none
33,3,5,1622.2400000000002,42065.65,5460.986250000001,5936.730126228868,574,8,633,0,none
34,2,3,5095.54,3056.51,1630.4099999999999,860.1013628637033,720,5,53,0,none
35,5,4,4758.92,3046.66,867.2866666666666,693.6822773351564,308,9,556,0,none
36,1,5,532.06,16023.09,2759.191666666667,1775.4809565900414,220,6,324,0,none
37,3,2,4692.9,4202.3,1779.0400000000002,1522.5863018955608,729,5,480,0,none
38,2,4,3673.58,6858.900000000001,1755.4133333333332,1761.746288635859,363,6,231,0,none
39,1,1,807.38,1233.69,1020.5350000000001,213.15500000000003,1014,2,395,0,none
40,2,2,3282.57,1553.35,1208.98,492.65918041786256,672,4,658,0,none
41,1,1,1142.77,517.37,830.0699999999999,312.7,1254,2,112,0,none
42,1,5,2217.53,12508.529999999999,2454.3433333333332,3091.343492764199,1059,6,440,0,none
43,1,7,1748.18,4842.62,823.8500000000001,619.2978512396115,489,8,68,0,none
44,4,4,5557.039999999999,5772.12,1416.145,1526.9500246651821,1253,8,537,0,none
45,3,3,1256.02,1658.8200000000002,485.8066666666667,371.7874124938725,1213,6,304,0,none
46,3,4,7900.539999999999,2004.6200000000001,1415.0228571428572,1129.718817920311,599,7,589,0,none
47,1,4,3339.78,4592.710000000001,1586.498,1058.2369789116237,453,5,628,0,none
48,1,5,1419.76,4950.77,1061.7549999999999,756.741522885016,1033,6,167,0,none
49,5,4,4939.28,5154.35,1121.5144444444445,556.0865485817654,235,9,445,0,none
50,2,4,2003.59,9460.880000000001,1910.745,978.4876026254327,323,6,582,0,none
51,2,5,2299.58,10108.939999999999,1772.6457142857143,1690.6730707523993,40,7,563,0,none
52,1,3,801.88,3368.3799999999997,1042.5649999999998,635.6484319378126,1186,4,557,0,none
53,5,0,10167.33,0.0,1694.555,2269.2216116453524,1007,5,546,0,none
54,4,3,4763.990000000001,19969.03,3533.2885714285717,3840.6584371151353,1066,7,330,0,none
55,1,0,1908.27,0.0,954.135,954.135,1177,1,193,0,none
56,3,3,4209.12,8295.14,2084.0433333333335,1553.9991348417439,704,6,388,0,none
57,3,2,4017.45,1850.33,1173.556,651.2662575506274,866,4,353,0,none
58,5,1,7345.179999999999,1159.5,1417.4466666666667,1061.5401686490982,235,6,26,0,none
59,4,1,5100.349999999999,2136.8,1447.4299999999998,509.28403253979997,198,5,171,0,none
60,3,3,2057.26,4036.98,1015.7066666666666,623.4824657696655,1012,6,307,0,none
61,3,2,7050.49,1042.5,1618.598,2168.3383312241654,722,5,458,0,none
62,3,2,3329.73,2396.15,1145.176,614.5865023770046,860,5,598,0,none
63,1,1,73.42,1437.42,755.4200000000001,682.0000000000001,1154,2,55,0,none
64,2,1,1689.75,388.88,692.8766666666667,425.1733024178364,963,3,402,0,none
65,1,2,1360.36,12906.22,4755.526666666666,4773.248523017514,843,3,395,0,none
66,4,3,3168.46,1853.12,717.3685714285714,336.6671374105956,852,7,63,0,none
67,5,3,4890.62,4281.33,1146.4937499999999,641.7925926250921,476,8,556,0,none
68,2,3,890.9000000000001,6953.39,1568.858,1448.2088681595621,75,5,421,0,none
69,2,5,2350.93,6315.05,1237.9971428571425,702.6363490803615,671,7,243,0,none
70,3,4,2840.75,4626.01,1066.68,755.5526212552733,345,7,687,0,none
71,2,1,6146.969999999999,378.22,2175.063333333333,2585.9949716931433,630,3,193,0,none
72,4,1,3307.7300000000005,2990.24,1259.594,952.8994729267091,1284,5,694,0,none
73,2,2,2362.58,1313.49,919.0174999999999,354.7286985412232,373,4,24,0,none
74,4,2,10836.52,2462.54,2216.5099999999998,2351.83778632796,115,6,575,0,none
75,2,1,3076.71,3909.14,2328.616666666667,1147.3053254280464,443,3,598,0,none
76,1,5,1212.17,12301.13,2252.2166666666667,1841.087969115605,461,6,642,0,none
77,3,3,2713.22,6948.62,1610.3066666666664,1655.1970950379964,1003,6,304,0,none
78,2,2,865.73,2210.85,769.145,580.8433744349676,848,4,88,0,none
79,1,1,7637.82,1739.53,4688.675,2949.145,1182,2,353,0,none
80,4,2,3808.41,2751.46,1093.3116666666667,1054.8883595657041,1006,6,697,0,none
81,3,5,4940.320000000001,5694.98,1329.4125,1382.6465852012761,627,8,286,0,none
82,1,2,3279.75,1528.3,1602.6833333333334,1194.5788338527052,1226,3,292,0,none
83,4,3,10114.25,3722.33,1976.6542857142856,969.0136918516262,275,7,224,0,none
84,5,4,4466.26,12743.369999999999,1912.1811111111108,2306.708313638696,63,9,234,0,none
85,4,1,8963.56,1841.64,2161.04,1879.5609408582634,162,5,74,0,none
86,4,2,6594.11,4137.87,1788.6633333333332,1138.6793817352138,1091,6,540,0,none
87,2,6,2824.3,23692.56,3314.6075,2868.9527801348963,708,8,487,0,none
88,5,0,8545.07,0.0,1424.1783333333333,1777.7581103402554,267,5,501,0,none
89,4,2,5379.8,10848.66,2704.7433333333333,2288.697751980855,766,6,630,0,none
90,3,3,6546.98,2807.62,1559.0999999999997,1794.4605771837582,253,6,656,0,none
91,4,5,3899.7799999999997,18298.62,2466.4888888888886,3793.2575462477407,1053,9,348,0,none
92,4,0,10827.48,0.0,2165.496,2002.6704994741394,685,4,346,0,none
93,3,2,3222.17,3850.5099999999998,1414.5359999999998,566.678261929995,590,5,116,0,none
94,2,4,2203.05,8591.87,1799.1533333333334,1109.5204703033749,473,6,167,0,none
95,3,5,11206.82,7294.07,2312.61125,2424.318638140609,956,8,478,0,none
96,1,2,634.6,1786.19,806.93,670.8283572320618,561,3,425,0,none
97,5,1,8925.37,10785.87,3285.206666666667,3663.1284705684143,158,6,671,0,none
98,4,1,8519.91,34684.44,8640.87,13101.207448204153,203,5,239,0,none
99,3,2,4326.2699999999995,2160.83,1297.4199999999998,1285.2342729479324,1443,5,237,0,none
100,1,2,1522.75,3946.0299999999997,1822.926666666667,511.0263304588347,1365,3,256,0,none
101,5,3,11127.46,6970.35,2262.2262499999997,1143.1090378321037,1058,8,346,0,none
102,4,4,8472.88,5942.91,1801.97375,1662.9423080336965,420,8,320,0,none
103,5,3,12113.07,2355.8,1808.6087499999999,1242.9014986156133,1454,8,534,0,none
104,5,5,5540.5199999999995,15046.22,2058.674,1978.8989207041375,1174,10,184,0,none
105,2,5,3790.62,7739.4800000000005,1647.1571428571428,790.0524331734352,1083,7,182,0,none
106,5,5,5160.91,4284.62,944.5529999999999,709.6410940898222,690,9,552,0,none
107,4,6,3197.1299999999997,5875.750000000001,907.2879999999999,749.1032595950974,430,10,515,0,none
108,3,5,1293.92,10811.26,1513.1474999999998,2105.2676665673057,171,8,55,0,none
109,2,2,2909.39,12009.91,3729.825,2395.878462782493,1356,4,312,0,none
110,4,3,5768.129999999999,2813.3599999999997,1225.9271428571426,620.247469890948,699,6,89,0,none
111,1,6,1148.49,9980.73,1589.8885714285714,1176.0104118881718,327,7,492,0,none
112,4,3,8433.02,7519.88,2278.985714285714,1234.344713103818,479,7,505,0,none
113,1,2,18869.35,1115.6200000000001,6661.656666666666,8632.25747726257,881,3,566,0,none
114,4,8,1954.84,8408.17,863.5841666666666,594.4503529936756,289,12,382,0,none
115,3,4,4054.52,5171.049999999999,1317.9385714285713,1205.6622641333277,1289,7,324,0,none
116,4,5,2107.19,2674.7000000000003,531.3211111111111,322.1185236470315,1145,9,13,0,none
117,1,5,2343.46,11859.599999999999,2367.1766666666667,2717.4810229001087,1087,6,344,0,none
118,2,3,6297.18,10902.09,3439.8540000000003,3484.631997566458,665,5,464,0,none
119,5,2,7502.89,6310.2300000000005,1973.3028571428572,1448.4435685808633,952,7,216,0,none
120,4,4,9404.53,8447.54,2231.50875,2019.977067087876,888,8,98,0,none
121,5,2,5159.589999999999,3594.83,1250.6314285714284,905.9745223700684,985,7,66,0,none
122,3,5,3404.6099999999997,7160.08,1320.58625,585.1865752676129,154,8,440,0,none
123,3,2,2103.1,1101.21,640.862,149.11493974783343,641,5,530,0,none
124,5,2,6730.45,1997.78,1246.8899999999999,729.1515022662593,91,7,550,0,none
125,3,3,6959.13,5485.969999999999,2074.1833333333334,1313.7245229583798,756,6,125,0,none
126,5,4,12164.64,7955.3099999999995,2235.5499999999997,1920.159678093928,514,9,131,0,none
127,2,4,1296.2199999999998,13345.29,2440.2516666666666,2857.5828578679143,242,6,462,0,none
