src,dst,amount,timestamp,shared_device
0,1781,4544.29,159,0
0,1919,517.64,468,0
0,1402,5668.39,601,0
0,2485,1123.77,633,0
1,878,1376.31,813,0
1,952,1673.16,1092,0
2,274,789.88,1232,0
2,2123,130.56,1529,0
2,746,396.19,1599,0
2,2305,1228.81,1725,0
2,2842,1318.65,2065,0
3,1407,221.42,2167,0
3,1920,4491.34,2219,0
3,13,8361.56,2501,0
3,1805,1061.59,2622,0
3,1133,1039.71,2696,0
4,1137,285.84,2767,0
4,2294,967.73,2951,0
4,2018,595.8,3266,0
4,706,1002.52,3366,0
4,2770,5142.18,3696,0
5,1821,1353.62,3943,0
5,76,5356.17,4145,0
5,2346,4375.26,4253,0
5,1843,2081.26,4309,0
6,2648,674.93,4459,0
6,493,509.56,4719,0
7,428,2488.53,5011,0
8,48,2181.33,5227,0
8,1593,233.26,5516,0
9,2720,690.54,5519,0
10,1825,770.28,5565,0
10,2318,719.71,5892,0
10,801,2943.18,6196,0
10,262,622.22,6382,0
11,1639,644.62,6732,0
11,2235,141.92,6888,0
11,2398,4920.85,7273,0
12,1170,2288.69,7362,0
12,250,472.98,7440,0
12,142,1440.8,7556,0
12,794,1942.75,7812,0
12,963,320.7,8096,0
13,70,475.87,8198,0
13,2813,1020.45,8200,0
13,1315,973.57,8381,0
13,559,450.43,8686,0
14,818,2667.73,8819,0
14,811,4553.08,8844,0
14,2431,430.85,8920,0
14,2991,444.28,9021,0
15,1872,351.31,9296,0
16,1280,682.31,9512,0
17,2076,3563.33,9530,0
18,2529,820.52,9546,0
18,2281,1417.28,9697,0
18,1712,1694.69,9883,0
19,190,3895.68,10167,0
19,1217,465.37,10302,0
19,813,195.32,10303,0
19,211,311.44,10626,0
19,2480,687.86,10676,0
20,138,684.84,10862,0
20,994,343.18,10987,0
20,210,443.47,11364,0
21,164,3782.58,11650,0
22,2071,2800.01,11677,0
23,1622,352.92,11708,0
24,2958,8211.14,11932,0
24,1975,397.02,12325,0
25,120,3142.09,12604,0
25,383,1146.72,12606,0
26,2445,1387.31,13002,0
26,2808,5519.17,13035,0
26,771,2391.15,13093,0
26,2277,2318.82,13151,0
27,1823,481.0,13346,0
27,584,1530.8,13626,0
28,1664,1913.36,13841,0
28,1736,1657.21,14145,0
28,769,530.52,14441,0
28,1162,2139.69,14701,0
29,187,3888.49,14771,0
29,700,1877.01,15051,0
29,10,7880.89,15320,0
29,1248,22737.31,15379,0
29,256,873.47,15706,0
30,224,2529.09,15816,0
30,991,978.56,15932,0
31,416,959.08,16010,0
31,563,596.91,16078,0
31,2364,15863.3,16254,0
31,2423,842.63,16401,0
32,1542,1041.52,16467,0
33,724,575.44,16730,0
33,854,456.66,17089,0
33,2860,590.14,17403,0
34,395,2183.34,17625,0
34,344,2912.2,17870,0
35,1535,1603.63,18066,0
35,2913,408.69,18102,0
35,904,538.05,18143,0
35,1416,1929.31,18221,0
35,364,279.24,18239,0
36,2088,532.06,18245,0
37,1015,1195.42,18321,0
37,191,336.77,18451,0
37,2518,3160.71,18507,0
38,1783,3055.68,18734,0
38,519,617.9,19015,0
39,1450,807.38,19072,0
40,2861,1771.69,19338,0
40,315,1510.88,19379,0
41,480,1142.77,19456,0
42,1885,2217.53,19472,0
43,397,1748.18,19645,0
44,1636,4568.7,19793,0
44,1736,208.2,20095,0
44,2159,173.45,20148,0
44,2184,606.69,20159,0
45,956,299.46,20293,0
